nb,rank,residual_ranked,residual_change,extracted_pde
30,5,0.03310259,147.72623777389526,D_t U = -0.567568  + -1.377874(U) + 6.777298(D_x^2 U) + 1.309370(U)(U) + -9.983920(U)(D_x^2 U) + -0.370978(U)(U)(U) + -0.040140(U)(U)(D_x U) + 3.828154(U)(U)(D_x^2 U)
31,4,4.5488694e-05,296.57251834869385,D_t U = -1.193721  + 0.195062(U) + -0.046334(D_x U) + 0.238926(D_x^2 U) + -0.071145(D_x^3 U) + -0.003337(U)(U) + -0.033778(U)(D_x U) + 0.086145(U)(D_x^2 U) + -0.016045(U)(D_x^3 U) + -0.043999(D_x^2 U)(D_x^3 U) + -0.006905(U)(U)(U) + 0.003841(U)(U)(D_x U) + -0.031095(U)(U)(D_x^2 U) + 0.011727(U)(U)(D_x^3 U) + 0.007138(U)(D_x U)(D_x U) + 0.033620(U)(D_x U)(D_x^2 U)
32,3,0.19794594,461.68150901794434,D_t U = -1.154821  + 0.149031(U)
33,2,0.00074833445,4320.784378051758,D_t U = -1.202998  + 0.218047(U) + 0.385272(D_x^2 U) + -0.073275(D_x^3 U) + -0.022287(U)(U) + -0.104029(U)(D_x U) + -0.145178(U)(D_x^2 U) + -0.001706(U)(U)(U) + 0.030095(U)(U)(D_x U) + 0.059323(U)(U)(D_x^2 U)
34,1,1.1118257,12226.911163330078,D_t U = -0.969085 
30,5,1.1260617,101.85681581497192,D_t U = -0.017830  + 0.110490(U) + -20.422844(D_x U) + -21.607656(D_x^2 U) + -17.035294(D_x U)(D_x U) + -352.712006(D_x U)(D_x^2 U) + -315.328918(D_x U)(D_x^3 U) + -341.955017(D_x^2 U)(D_x^2 U) + -321.329254(D_x^2 U)(D_x^3 U) + -46.894783(U)(D_x^2 U)(D_x^2 U) + -120.410378(U)(D_x^2 U)(D_x^3 U) + -73.419296(U)(D_x^3 U)(D_x^3 U) + -274.122864(D_x U)(D_x U)(D_x U) + -9717.051758(D_x U)(D_x U)(D_x^2 U) + -8483.900391(D_x U)(D_x U)(D_x^3 U) + -18126.947266(D_x U)(D_x^2 U)(D_x^2 U) + -15343.310547(D_x U)(D_x^2 U)(D_x^3 U) + 1133.925415(D_x U)(D_x^3 U)(D_x^3 U) + -8711.912109(D_x^2 U)(D_x^2 U)(D_x^2 U) + -6883.430664(D_x^2 U)(D_x^2 U)(D_x^3 U) + 1138.386108(D_x^2 U)(D_x^3 U)(D_x^3 U)
31,4,2.2730322,118.72974634170532,D_t U =  + 0.102010(U) + -19.933172(D_x U) + -21.167690(D_x^2 U) + -48.484894(D_x U)(D_x U) + -488.282318(D_x U)(D_x^2 U) + -371.633636(D_x U)(D_x^3 U) + -448.139984(D_x^2 U)(D_x^2 U) + -378.434692(D_x^2 U)(D_x^3 U) + -98.100044(U)(D_x^2 U)(D_x^2 U) + -222.132172(U)(D_x^2 U)(D_x^3 U) + -124.205559(U)(D_x^3 U)(D_x^3 U) + -814.879272(D_x U)(D_x U)(D_x U) + -17191.792969(D_x U)(D_x U)(D_x^2 U) + -13805.333008(D_x U)(D_x U)(D_x^3 U) + -31678.544922(D_x U)(D_x^2 U)(D_x^2 U) + -26133.126953(D_x U)(D_x^2 U)(D_x^3 U) + 1139.205078(D_x U)(D_x^3 U)(D_x^3 U) + -15325.303711(D_x^2 U)(D_x^2 U)(D_x^2 U) + -12342.981445(D_x^2 U)(D_x^2 U)(D_x^3 U) + 1146.427002(D_x^2 U)(D_x^3 U)(D_x^3 U)
32,3,0.09806315,204.59673404693604,D_t U = -0.026099  + 0.121469(U) + -20.931908(D_x U) + -21.849558(D_x^2 U) + 0.304150(D_x^3 U) + 0.052400(U)(U) + 0.699447(U)(D_x U) + -19.208368(D_x U)(D_x U) + -50.293316(D_x U)(D_x^2 U) + -6.234505(D_x U)(D_x^3 U) + -30.903408(D_x^2 U)(D_x^2 U) + -5.989748(D_x^2 U)(D_x^3 U) + 1.353381(U)(U)(D_x U) + 15.806422(U)(D_x U)(D_x^3 U) + -17.080168(U)(D_x^2 U)(D_x^2 U) + -24.805050(U)(D_x^2 U)(D_x^3 U) + -22.971605(U)(D_x^3 U)(D_x^3 U) + 153.417572(D_x U)(D_x U)(D_x U) + 902.542236(D_x U)(D_x U)(D_x^2 U) + 634.101746(D_x U)(D_x U)(D_x^3 U) + 1574.395874(D_x U)(D_x^2 U)(D_x^2 U) + 1747.666382(D_x U)(D_x^2 U)(D_x^3 U) + 259.117645(D_x U)(D_x^3 U)(D_x^3 U) + 829.020325(D_x^2 U)(D_x^2 U)(D_x^2 U) + 1123.235352(D_x^2 U)(D_x^2 U)(D_x^3 U) + 264.840485(D_x^2 U)(D_x^3 U)(D_x^3 U)
33,2,0.35173312,220.0636863708496,D_t U = -0.026129  + 0.123517(U) + -20.666786(D_x U) + -21.808378(D_x^2 U) + 0.055734(U)(U) + -14.579234(D_x U)(D_x U) + -197.754852(D_x U)(D_x^2 U) + -173.357254(D_x U)(D_x^3 U) + -187.216385(D_x^2 U)(D_x^2 U) + -177.729431(D_x^2 U)(D_x^3 U) + -25.805603(U)(D_x U)(D_x^3 U) + -74.821320(U)(D_x^2 U)(D_x^2 U) + -197.729645(U)(D_x^2 U)(D_x^3 U) + -95.484436(U)(D_x^3 U)(D_x^3 U) + -86.331490(D_x U)(D_x U)(D_x U) + -3512.253906(D_x U)(D_x U)(D_x^2 U) + -3195.889160(D_x U)(D_x U)(D_x^3 U) + -6202.799805(D_x U)(D_x^2 U)(D_x^2 U) + -4882.000488(D_x U)(D_x^2 U)(D_x^3 U) + 970.028748(D_x U)(D_x^3 U)(D_x^3 U) + -2780.462891(D_x^2 U)(D_x^2 U)(D_x^2 U) + -1672.086914(D_x^2 U)(D_x^2 U)(D_x^3 U) + 987.951416(D_x^2 U)(D_x^3 U)(D_x^3 U)
34,1,5.431346,240.23776054382324,D_t U =  + -19.372744(D_x U) + -21.183771(D_x^2 U) + -1246.817871(D_x U)(D_x^2 U) + -1220.402832(D_x U)(D_x^3 U) + -1241.112671(D_x^2 U)(D_x^2 U) + -1210.273438(D_x^2 U)(D_x^3 U) + -104690.101562(D_x U)(D_x U)(D_x^2 U) + -106184.343750(D_x U)(D_x U)(D_x^3 U) + -212633.390625(D_x U)(D_x^2 U)(D_x^2 U) + -217374.343750(D_x U)(D_x^2 U)(D_x^3 U) + -2002.590454(D_x U)(D_x^3 U)(D_x^3 U) + -107918.984375(D_x^2 U)(D_x^2 U)(D_x^2 U) + -111180.234375(D_x^2 U)(D_x^2 U)(D_x^3 U) + -2019.834106(D_x^2 U)(D_x^3 U)(D_x^3 U)
